프로모션별,캠페인명,일자,노출수,클릭수,라이브일자,연도,월,광고상품명_정리,구분,광고주
202602과자세트,20260226_PC 서브브랜딩(리뉴얼)_MY 구좌_과자세트,2026-02-26 0:00:00,81321,189,2026-02-26 0:00:00,2026,2,PC 서브브랜딩(리뉴얼)_MY 구좌,숲토어,과자세트
202602과자세트,20260226_핫딜_커머스_과자세트_PC서브브랜딩,2026-02-26 0:00:00,1407,1,2026-02-26 0:00:00,2026,2,PC 서브 브랜딩(리뉴얼),숲토어,과자세트
202602과자세트,20260226_핫딜_커머스_과자세트_PC상단,2026-02-26 0:00:00,75253,85,2026-02-26 0:00:00,2026,2,PC 플레이어 상단배너(SOOP),숲토어,과자세트
202602과자세트,20260226_핫딜_커머스_과자세트_PC리스트,2026-02-26 0:00:00,272,1,2026-02-26 0:00:00,2026,2,모바일 리스트 배너(SOOP),숲토어,과자세트
202602과자세트,20260226_핫딜_커머스_과자세트_MO종료_이미지형,2026-02-26 0:00:00,53782,140,2026-02-26 0:00:00,2026,2,모바일 종료배너 이미지형,숲토어,과자세트
202602과자세트,20260226_핫딜_커머스_과자세트_MO메인보드,2026-02-26 0:00:00,15903,21,2026-02-26 0:00:00,2026,2,모바일 메인보드,숲토어,과자세트
202602과자세트,20260226_핫딜_커머스_과자세트_MO리스트,2026-02-26 0:00:00,6127,7,2026-02-26 0:00:00,2026,2,모바일 리스트 배너(SOOP),숲토어,과자세트
202602과자세트,20260226_핫딜_커머스_과자세트_CATCH,2026-02-26 0:00:00,7240,5,2026-02-26 0:00:00,2026,2,CATCH 인피드 이미지형,숲토어,과자세트
202602과자세트,20260226_커머스사업팀_과자세트_핫딜_PC비쥬얼보드,2026-02-26 0:00:00,241182,625,2026-02-26 0:00:00,2026,2,PC 비쥬얼보드(리뉴얼),숲토어,과자세트
202602과자세트,20260226_커머스사업팀_과자세트_핫딜_MO인트로,2026-02-26 0:00:00,277633,6875,2026-02-26 0:00:00,2026,2,모바일 인트로배너,숲토어,과자세트
202602과자세트,20260226_ 모바일 메인보드 MY탭 구좌_과자세트,2026-02-26 0:00:00,170555,153,2026-02-26 0:00:00,2026,2,모바일 메인보드 MY탭 구좌,숲토어,과자세트
202602캘빈클라인,20260225_PC 서브브랜딩(리뉴얼)_MY 구좌_캘빈클라인,2026-02-25 0:00:00,421682,229,2026-02-25 0:00:00,2026,2,PC 서브브랜딩(리뉴얼)_MY 구좌,숲토어,캘빈클라인
202602캘빈클라인,20260225_PC 서브브랜딩(리뉴얼)_MY 구좌_캘빈클라인,2026-02-26 0:00:00,102,0,2026-02-25 0:00:00,2026,2,PC 서브브랜딩(리뉴얼)_MY 구좌,숲토어,캘빈클라인
202602캘빈클라인,20260225_커머스_언더웨어_PC상단,2026-02-25 0:00:00,268697,257,2026-02-25 0:00:00,2026,2,PC 플레이어 상단배너(SOOP),숲토어,캘빈클라인
